name,
"2019 discharge: EU general budget - Court of Justice of the European Union",0
"2019 discharge: EU general budget - Court of Auditors",0
"2019 discharge: EU general budget - European Economic and Social Committee",0
"2019 discharge: EU general budget - Committee of the Regions",0
"2019 discharge: EU general budget - European Ombudsman",0
"2019 discharge: EU general budget - European Data Protection Supervisor",0
"2019 discharge: EU general budget - European External Action Service",0
"2019 discharge: European Centre for the Development of Vocational Training",0
"2019 discharge: European Foundation for the Improvement of Living and Working Conditions",0
"2019 discharge: European Union Agency for Fundamental Rights",0
"2019 discharge: European Monitoring Centre for Drugs and Drug Addiction",0
"2019 discharge: European Environment Agency",1
"2019 discharge: European Agency for Safety and Health at Work",0
"2019 discharge: Translation Centre for the Bodies of the European Union",0
"2019 discharge: European Medicines Agency",0
"2019 discharge: European Union Agency for Criminal Justice Cooperation (Eurojust)",0
"2019 discharge: European Training Foundation",0
"2019 discharge: European Maritime Safety Agency",0
"2019 discharge: European Aviation Safety Agency",0
"2019 discharge: European Food Safety Authority",0
"2019 discharge: European Centre for Disease Prevention and Control",0
"2019 discharge: European Union Agency for Cybersecurity (ENISA)",0
"2019 discharge: European Union Agency for Railways",0
"2019 discharge: European Union Agency for Law Enforcement Training (CEPOL)",0
"2019 discharge: European Border and Coast Guard Agency",0
"2019 discharge: European GNSS Agency",0
"2019 discharge: European Fisheries Control Agency",1
"2019 discharge: European Chemicals Agency",0
"2019 discharge: Euratom Supply Agency",0
"2019 discharge: European Union Agency for Law Enforcement Cooperation (Europol)",0
"2019 discharge: European Institute for Gender Equality",0
"2019 discharge: European Banking Authority",0
"2019 discharge: European Insurance and Occupational Pensions Authority",0
"2019 discharge: European Securities and Markets Authority",0
"2019 discharge: European Union Agency for the Cooperation of Energy Regulators",0
"2019 discharge: Agency for Support for BEREC (BEREC Office)",0
"2019 discharge: European Institute of Innovation and Technology",0
"2019 discharge: European Asylum Support Office",0
"2019 discharge: European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",0
"2019 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy",0
"2019 discharge: SESAR Joint Undertaking",0
"2019 discharge: Clean Sky 2 Joint Undertaking",0
"2019 discharge: Bio-Based Industries Joint Undertaking",0
"2019 discharge: Innovative Medicines Initiative 2 Joint Undertaking",0
"2019 discharge: Fuel Cells and Hydrogen 2 Joint Undertaking",1
"2019 discharge: Shift2Rail Joint Undertaking",1
"2019 discharge: ECSEL Joint Undertaking",0
"2019 discharge: EU general budget - 8th, 9th, 10th and 11th EDFs",0
"Soil protection",1
"Multiannual management plan for bluefin tuna in the eastern Atlantic and the Mediterranean",1
"2019 discharge: EU general budget - Commission and executive agencies",0
"Digital Green Certificate - Union citizens",0
"Digital Green Certificate - third country nationals",0
"Digital taxation: OECD negotiations, tax residency of digital companies and a possible European Digital Tax",0
"Assassination of Daphne Caruana Galizia and the rule of law in Malta",0
"2019 discharge: EU general budget - European Parliament",0
"2019 discharge: EU general budget - Council and European Council",0
"Multiannual management plan for bluefin tuna in the eastern Atlantic and the Mediterranean",0
"Soil protection",1
"Digital Green Certificate - Union citizens",0
"Digital Green Certificate - third country nationals",0
"Digital taxation: OECD negotiations, tax residency of digital companies and a possible European Digital Tax",0
"Assassination of Daphne Caruana Galizia and the rule of law in Malta",0
"EU-India relations",0
"2019 discharge: EU general budget - Court of Justice of the European Union",0
"2019 discharge: EU general budget - Court of Auditors",0
"2019 discharge: EU general budget - European Economic and Social Committee",0
"2019 discharge: EU general budget - European Ombudsman",0
"2019 discharge: EU general budget - European Data Protection Supervisor",0
"2019 discharge: EU general budget - European External Action Service",0
"2019 discharge: European Union Agency for Fundamental Rights",0
"2019 discharge: European Monitoring Centre for Drugs and Drug Addiction",0
"2019 discharge: European Environment Agency",0
"2019 discharge: European Medicines Agency",0
"2019 discharge: European Union Agency for Criminal Justice Cooperation (Eurojust)",0
"2019 discharge: European Food Safety Authority",0
"2019 discharge: European Centre for Disease Prevention and Control",0
"2019 discharge: European Union Agency for Law Enforcement Training (CEPOL)",0
"2019 discharge: European Border and Coast Guard Agency",0
"2019 discharge: European GNSS Agency",0
"2019 discharge: European Chemicals Agency",0
"2019 discharge: European Union Agency for Law Enforcement Cooperation (Europol)",0
"2019 discharge: European Union Agency for the Cooperation of Energy Regulators",0
"2019 discharge: Agency for Support for BEREC (BEREC Office)",0
"2019 discharge: European Institute of Innovation and Technology",0
"2019 discharge: European Asylum Support Office",0
"2019 discharge: European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",0
"2019 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy",0
" 2019 discharge: SESAR Joint Undertaking",0
"2019 discharge: Clean Sky 2 Joint Undertaking",0
"2019 discharge: Bio-Based Industries Joint Undertaking",0
"2019 discharge: Innovative Medicines Initiative 2 Joint Undertaking",0
"2019 discharge: Fuel Cells and Hydrogen 2 Joint Undertaking",1
"2019 discharge: Shift2Rail Joint Undertaking",0
"2019 discharge: ECSEL Joint Undertaking",0
"2019 discharge: EU general budget - 8th, 9th, 10th and 11th EDFs",0
"Report on discharge in respect of the implementation of the budget of the European Union agencies for the financial year 2019: performance, financial management and control",0
"COVID-19 pandemic in Latin America",0
"Bolivia and the arrest of former President Jeanine Aez and other officials",0
"Blasphemy laws in Pakistan, in particular the case Shagufta Kausar and Shafqat Emmanuel",0
"Parliament's estimates of revenue and expenditure for the financial year 2022",0
"Russia, the case of Alexei Navalny, military build-up on Ukraine's border and Russian attack in the Czech Republic",0
"5th anniversary of the Peace Agreement in Colombia",0
"European Child Guarantee",0
"The accessibility and affordability of Covid-testing",0
"Rail passengers' rights and obligations",0
"European Defence Fund",0
"Administrative cooperation in the field of excise duties: content of electronic registers",0
"COVID-19 pandemic in Latin America",0
"Bolivia and the arrest of former President Jeanine Aez and other officials",0
"Blasphemy laws in Pakistan, in particular the case Shagufta Kausar and Shafqat Emmanuel",0
"Parliament's estimates of revenue and expenditure for the financial year 2022",0
"Russia, the case of Alexei Navalny, military build-up on Ukraine's border and Russian attack in the Czech Republic",0
"5th anniversary of the Peace Agreement in Colombia",0
"European Child Guarantee",0
"The accessibility and affordability of Covid-testing",0
"EU-India relations",0
" 2019 discharge: EU general budget - Commission and executive agencies",0
"2019 discharge: EU general budget - European Parliament",0
" 2019 discharge: EU general budget - Council and European Council",0
" 2019 discharge: EU general budget - Court of Justice of the European Union",0
" 2019 discharge: EU general budget - Court of Auditors",0
" 2019 discharge: EU general budget - European Economic and Social Committee",0
" 2019 discharge: EU general budget - Committee of the Regions",0
" 2019 discharge: EU general budget - European Ombudsman",0
" 2019 discharge: EU general budget - European Data Protection Supervisor",0
" 2019 discharge: EU general budget - European External Action Service",0
" 2019 discharge: European Centre for the Development of Vocational Training",0
" 2019 discharge: European Foundation for the Improvement of Living and Working Conditions",0
" 2019 discharge: European Union Agency for Fundamental Rights",0
"2019 discharge: European Monitoring Centre for Drugs and Drug Addiction",0
" 2019 discharge: European Environment Agency",0
"2019 discharge: European Agency for Safety and Health at Work",0
" 2019 discharge: Translation Centre for the Bodies of the European Union",0
" 2019 discharge: European Medicines Agency",0
"2019 discharge: European Union Agency for Criminal Justice Cooperation (Eurojust)",0
" 2019 discharge: European Training Foundation",0
" 2019 discharge: European Maritime Safety Agency",0
" 2019 discharge: European Aviation Safety Agency",0
" 2019 discharge: European Food Safety Authority",0
" 2019 discharge: European Centre for Disease Prevention and Control",0
" 2019 discharge: European Union Agency for Cybersecurity (ENISA)",0
" 2019 discharge: European Union Agency for Railways",0
"2019 discharge: European Union Agency for Law Enforcement Training (CEPOL)",0
" 2019 discharge: European Border and Coast Guard Agency",0
" 2019 discharge: European GNSS Agency",0
" 2019 discharge: European Fisheries Control Agency",0
" 2019 discharge: European Chemicals Agency",0
"2019 discharge: European Union Agency for Law Enforcement Cooperation (Europol)",0
" 2019 discharge: European Institute for Gender Equality",0
" 2019 discharge: European Banking Authority",0
" 2019 discharge: European Insurance and Occupational Pensions Authority",0
"2019 discharge: European Securities and Markets Authority",0
"2019 discharge: European Union Agency for the Cooperation of Energy Regulators",0
" 2019 discharge: Agency for Support for BEREC (BEREC Office)",0
" 2019 discharge: European Institute of Innovation and Technology",0
" 2019 discharge: European Asylum Support Office",0
"2019 discharge: European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",0
"2019 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy",0
" 2019 discharge: SESAR Joint Undertaking",0
" 2019 discharge: Clean Sky 2 Joint Undertaking",0
" 2019 discharge: Bio-Based Industries Joint Undertaking",0
" 2019 discharge: Innovative Medicines Initiative 2 Joint Undertaking",0
" 2019 discharge: Fuel Cells and Hydrogen 2 Joint Undertaking",1
" 2019 discharge: Shift2Rail Joint Undertaking",0
" 2019 discharge: ECSEL Joint Undertaking",0
"2019 discharge: EU general budget - 8th, 9th, 10th and 11th EDFs",0
"Report on discharge in respect of the implementation of the budget of the European Union agencies for the financial year 2019: performance, financial management and control",0
"Equivalence of forest reproductive material produced in the UK",0
"Equivalence of field inspections and equivalence of checks on practices for the maintenance of varieties of agricultural plant species carried out in the UK",0
"InvestEU Programme",0
"Programme for the Union's action in the field of health for the period 2021-2027 ('EU4Health Programme')",0
"A WTO-compatible EU carbon border adjustment mechanism",0
"Administrative cooperation in the field of taxation",0
"Corporate due diligence and corporate accountability",0
"Equal treatment in employment and occupation in light of the UNCRPD",0
"Fisheries control",1
"Activities of the European Ombudsman - annual report 2019",0
"A WTO-compatible EU carbon border adjustment mechanism",0
"Administrative cooperation in the field of taxation",0
"Corporate due diligence and corporate accountability",0
"Implementation of the Construction Products Regulation",0
"Equal treatment in employment and occupation in light of the UNCRPD",0
"European Semester: Annual Sustainable Growth Strategy 2021",0
"European Semester: employment and social aspects in the Annual Sustainable Growth Strategy 2021",0
"Fisheries control",1
"Equivalence of forest reproductive material produced in the UK",1
"Equivalence of field inspections and equivalence of checks on practices for the maintenance of varieties of agricultural plant species carried out in the UK",1
"Objection pursuant to Rule 112(2) and (3): Active substances, including dimoxystrobin",0
"Objection pursuant to Rule 112(2) and (3): Genetically modified cotton GHB614  T304-40  GHB119",1
"Objection pursuant to Rule 112(2) and (3): Genetically modified maize MZIR098 (SYN-98-3)",1
"Activities of the European Ombudsman - annual report 2019",0
"Situation in Eastern Democratic Republic of Congo and the assassination of the Italian Ambassador Luca Attanasio and his entourage",0
"The human rights situation in the Kingdom of Bahrain, in particular the cases of death row inmates and human rights defenders",0
"The mass trials against opposition and civil society in Cambodia",0
"Declaration of the EU as an LGBTIQ Freedom Zone",0
"Children's Rights",0
"European Semester: Annual Sustainable Growth Strategy 2021",0
"European Semester: employment and social aspects in the annual sustainable growth strategy 2021",0
"Situation in Eastern Democratic Republic of Congo and the assassination of the Italian Ambassador Luca Attanasio and his entourage",0
"The human rights situation in the Kingdom of Bahrain, in particular the cases of death row inmates and human rights defenders",0
"The mass trials against opposition and civil society in Cambodia",0
"Declaration of the EU as an LGBTIQ Freedom Zone",0
"Children's Rights",0
"System of own resources of the European Union",0
"General framework for securitisation and specific framework for simple, transparent and standardised securitisation to help the recovery from the COVID-19 crisis",0
"Amending Regulation (EU) No 575/2013 as regards adjustments to the securitisation framework to support the economic recovery in response to the COVID-19 crisis",0
"Procurement in the fields of defence and security and transfer of defence-related products: implementation of relevant Directives",0
"Application of Regulation (EC) 2020/2092, the Rule of Law conditionality mechanism",0
"Own resource based on non-recycled plastic packaging waste and certain aspects of the GNI-based own resource",1
"Collection of own resources accruing from value added tax",0
"Guidelines for the 2022 Budget - Section III",0
"Implementation of the Ambient Air Quality Directives",0
"New EU-Africa Strategy",0
"Commission evaluation report on the implementation of the General Data Protection Regulation two years after its application",0
"2019-2020 Reports on Albania",0
"2019-2020 Reports on Kosovo",0
"2019-2020 Reports on North Macedonia",0
"2019-2020 Reports on Serbia",0
" EU Strategy for Sustainable Tourism",0
"Shaping digital education policy",0
"Impact on fisheries of marine litter",1
"Cohesion Policy and regional environment strategies in the fight against climate change",1
"European strategy for data",0
"General framework for securitisation and specific framework for simple, transparent and standardised securitisation to help the recovery from the COVID-19 crisis",0
"Amending Regulation (EU) No 575/2013 as regards adjustments to the securitisation framework to support the economic recovery in response to the COVID-19 crisis",0
"Control of exports, brokering, technical assistance, transit and transfer of dual-use",0
"Procurement in the fields of defence and security and transfer of defence-related products: implementation of relevant Directives",0
"Application of Regulation (EC) 2020/2092, the Rule of Law conditionality mechanism",0
"Own resource based on non-recycled plastic packaging waste and certain aspects of the GNI-based own resource",1
"Collection of own resources accruing from value added tax",0
"Guidelines for the 2022 Budget - Section III",0
"Implementation of the Ambient Air Quality Directives",1
"New EU-Africa Strategy",0
" EU Strategy for Sustainable Tourism",0
"Strengthening the international role of the euro",0
"Commission evaluation report on the implementation of the General Data Protection Regulation two years after its application",0
"2019-2020 Reports on Albania",0
"2019-2020 Reports on Kosovo",0
"2019-2020 Reports on North Macedonia",0
"2019-2020 Reports on Serbia",0
